uf;mes;casos;populacao;incremento;prec;tmax;tmin
51;2016 mai;56;3370916,333333333;134,52499999999418;34,02334785461426;31,2157077789307;17,7059240341187
51;2016 jun;61;3374400,666666667;134,52500000002328;9,24903678894043;31,2379531860352;15,0170335769653
51;2016 jul;39;3377885,000000000;134,52499999999418;2,46440529823303;32,8679046630859;15,7304286956787
51;2016 ago;54;3381369,333333333;134,52499999999418;22,02667427062988;34,0028648376465;17,2018785476685
51;2016 set;32;3384853,666666667;134,52499999999418;52,80675125122070;32,7893905639648;18,6532859802246
51;2016 out;33;3388338,000000000;134,52499999999418;175,00000000000000;33,2286682128906;20,3170948028564
51;2016 nov;23;3391822,333333333;134,52499999999418;221,58041381835938;31,6204414367676;20,2568492889404
51;2016 dez;38;3395306,666666667;134,52500000002328;280,80671691894531;31,4007759094238;20,3801975250244
51;2017 jan;37;3398791,000000000;134,52499999999418;302,62678527832031;30,6789197921753;20,6219940185547
51;2017 fev;23;3402391,583333333;124,20833333334303;289,26107788085938;30,6547489166260;20,6821537017822
51;2017 mar;17;3405992,166666667;124,20833333334303;265,83752441406250;31,0806255340576;20,8390512466431
51;2017 abr;14;3409592,750000000;124,20833333331393;134,33589172363281;31,6035776138306;20,1247472763062
51;2017 mai;47;3413193,333333333;124,20833333334303;54,69737625122070;32,0504417419434;18,8465709686279
51;2017 jun;22;3416793,916666667;124,20833333334303;7,25617504119873;32,2049922943115;16,3875188827515
51;2017 jul;53;3420394,500000000;124,20833333331393;2,45202505588531;31,8432111740112;14,9018144607544
51;2017 ago;68;3423995,083333333;124,20833333334303;17,97408294677734;34,3551521301270;17,6748504638672
51;2017 set;54;3427595,666666667;124,20833333334303;51,12859344482422;33,8527221679688;19,5352306365967
51;2017 out;104;3431196,250000000;124,20833333331393;150,14550781250000;33,0503158569336;20,2028160095215
51;2017 nov;69;3434796,833333333;124,20833333334303;222,14846801757812;31,7257299423218;20,4222593307495
51;2017 dez;82;3438397,416666667;124,20833333334303;298,85636901855469;31,1117439270020;20,1810903549194
51;2018 jan;71;3441998,000000000;124,20833333331393;334,23754882812500;30,3553800582886;20,2950401306152
51;2018 fev;42;3445537,000000000;158,71666666667443;309,99446105957031;30,6651144027710;20,7263889312744
51;2018 mar;73;3449076,000000000;158,71666666667443;228,10528564453125;30,9078063964844;20,7336654663086
51;2018 abr;86;3452615,000000000;158,71666666664532;144,19358062744141;31,7885999679565;20,2734241485596
51;2018 mai;43;3456154,000000000;158,71666666667443;37,86924362182617;31,4579849243164;18,1734457015991
51;2018 jun;62;3459693,000000000;158,71666666667443;6,99924373626709;30,6840257644653;14,7175507545471
51;2018 jul;93;3463232,000000000;158,71666666667443;2,80264139175415;32,1498584747314;15,0808677673340
51;2018 ago;96;3466771,000000000;158,71666666664532;18,94728660583496;32,8023166656494;15,8141288757324
51;2018 set;128;3470310,000000000;158,71666666667443;57,58131408691406;33,6008758544922;19,3601837158203
51;2018 out;60;3473849,000000000;158,71666666667443;175,48229980468750;33,3123188018799;20,3298969268799
51;2018 nov;75;3477388,000000000;158,71666666667443;210,79203033447266;31,5097150802612;20,1659498214722
51;2018 dez;67;3480927,000000000;158,71666666667443;282,67962646484375;31,4057245254517;20,3607559204102
51;2019 jan;36;3484466,000000000;158,71666666664532;NA;NA;NA
51;2019 fev;46;3484466,000000000;0,00000000000000;NA;NA;NA
51;2019 mar;41;3484466,000000000;0,00000000000000;NA;NA;NA
51;2019 abr;79;3484466,000000000;0,00000000000000;NA;NA;NA
51;2019 mai;122;3484466,000000000;0,00000000000000;NA;NA;NA
51;2019 jun;127;3484466,000000000;0,00000000000000;NA;NA;NA
51;2019 jul;193;3484466,000000000;0,00000000000000;NA;NA;NA
51;2019 ago;257;3484466,000000000;0,00000000000000;NA;NA;NA
51;2019 set;382;3484466,000000000;0,00000000000000;NA;NA;NA
51;2019 out;160;3484466,000000000;0,00000000000000;NA;NA;NA
51;2019 nov;189;3484466,000000000;0,00000000000000;NA;NA;NA
51;2019 dez;165;3484466,000000000;0,00000000000000;282,67962646484375;31,4057245254517;NA
