MUNIAT;IDADE_2;POP_TOTAL;IMIGRANTE;EMIGRANTE;MIGRANTE;SALDO;IEM;TX_IMIG;TX_EMIG;TX_MIG
SALVATERRA;[25,30);1603,00000000001;321,539834870243;201,562658191438;523,102493061682;119,977176678805;0,229356920049429;0,0125740897187422;0,0200586297486114;0,0326327194673536
SALVATERRA;[30,35);1482,00000000001;280,236672794205;119,919416344348;400,156089138553;160,317256449858;0,40063680349082;0,00809172849826904;0,0189093571386102;0,0270010856368793
SALVATERRA;[35,40);1347,00000000001;350,582302594455;46,5307165032968;397,113019097752;304,051586091158;0,765655043951893;0,00345439617693367;0,0260268970003306;0,0294812931772643
SALVATERRA;[40,45);1080,00000000001;197,537102813121;78,0775263521354;275,614629165256;119,459576460986;0,433429737829187;0,00722940058816064;0,0182904724826963;0,0255198730708569
SALVATERRA;[45,50);940,000000000006;205,401099321358;30,1702695731416;235,571368894499;175,230829748216;0,743854529396114;0,00320960314607887;0,0218511807788677;0,0250607839249466
SALVATERRA;[50,55);758,240049648216;131,776753596333;54,3663895048644;186,143143101198;77,410364091469;0,415864709286575;0,00717007622191515;0,0173792921723761;0,0245493683942913
SALVATERRA;[55,60);668,759950351792;112,665519327892;23,8938905793759;136,559409907268;88,7716287485164;0,650058672696356;0,00357286505670785;0,0168469297942597;0,0204197948509675
SALVATERRA;[60,139);1695,95889565572;247,913761828845;39,9021729038235;287,815934732669;208,011588925022;0,722724365898047;0,00235277948103783;0,0146179109920582;0,016970690473096
SAMBAÍBA;[0,5);550,058621134461;96,2328617656733;8,7765419558379;105,009403721511;87,4563198098354;0,832842742748762;0,00159556483956871;0,017495019270346;0,0190905841099147
SAMBAÍBA;[5,10);555,000000000001;107,466860532957;18,1554650488682;125,622325581825;89,311395484089;0,710951616843896;0,00327125496376003;0,0193633982942265;0,0226346532579865
SAMBAÍBA;[10,15);720,000000000001;90,271217912649;90,7013979245829;180,972615837232;-0,430180011933928;-0,00237704478074647;0,0125974163784143;0,0125376691545346;0,0251350855329488
SAMBAÍBA;[15,20);626,000000000001;84,1916643869031;216,274726532365;300,466390919268;-132,083062145462;-0,439593465816119;0,0345486783598026;0,0134491476656395;0,0479978260254421
SAMBAÍBA;[20,25);424,000000000001;87,8332868215397;327,613961583568;415,447248405108;-239,780674762029;-0,577162746130925;0,0772674437697093;0,0207153978352687;0,0979828416049781
SAMBAÍBA;[25,30);411,000000000001;99,5132342891664;148,049248434323;247,562482723489;-48,5360141451563;-0,196055612349662;0,0360217149475237;0,0242124657637874;0,060234180711311
SAMBAÍBA;[30,35);326,000000000001;65,7748194513818;85,3237357358426;151,098555187224;-19,5489162844608;-0,129378578506181;0,0261729250723443;0,0201763249850864;0,0463492500574307
SAMBAÍBA;[35,40);284,000000000001;19,1154971917148;88,6003464243471;107,715843616062;-69,4848492326323;-0,645075477292842;0,0311973050789954;0,0067308088703221;0,0379281139493175
SAMBAÍBA;[40,45);319,000000000001;44,7297366302864;66,8231381334476;111,552874763734;-22,0934015031612;-0,198053179265478;0,0209476922048425;0,0140218610126289;0,0349695532174714
SAMBAÍBA;[45,50);272;34,9921461332062;79,5150718709958;114,507218004202;-44,5229257377896;-0,388822001912192;0,0292334823055131;0,0128647596077964;0,0420982419133095
