MUNIAT;SEXO;POP_TOTAL;IMIGRANTE;EMIGRANTE;MIGRANTE;SALDO;IEM;TX_IMIG;TX_EMIG;TX_MIG
IGARAPÉ-AÇU;Masc;18117,0000000005;1879,8366652578;2813,72417849933;4693,56084375713;-933,88751324153;-0,198972069251789;0,0155308504636488;0,0103760924284249;0,0259069428920737
IGARAPÉ-MIRI;Fem;28403,000000003;1533,62961647921;3091,47183601166;4625,10145249087;-1557,84221953246;-0,336823361721822;0,0108843144597801;0,00539953391007655;0,0162838483698566
IGARAPÉ-MIRI;Masc;29674,0000000031;1390,71773591775;2866,56032371457;4257,27805963232;-1475,84258779682;-0,346663423700419;0,00966017498050237;0,00468665409421584;0,0143468290747182
IMPERATRIZ;Fem;128278;20388,0202308696;34648,8612706103;55036,8815014799;-14260,8410397408;-0,25911426393876;0,0270107588757311;0,0158936218454214;0,0429043807211525
IMPERATRIZ;Masc;119227;17761,0833036733;34066,7573927521;51827,8406964255;-16305,6740890788;-0,314612259935486;0,0285730223797898;0,0148968633813426;0,0434698857611324
INDIAVAÍ;Fem;1148;192,700364619421;204,559602322578;397,259966941999;-11,8592377031577;-0,029852586945639;0,01781878069012;0,0167857460469878;0,0346045267371079
INDIAVAÍ;Masc;1249;199,644464279178;236,941925120367;436,586389399545;-37,297460841189;-0,0854297379551516;0,0189705304339765;0,0159843446180287;0,0349548750520052
INHANGAPI;Fem;4867,00000000001;734,244746838484;526,470690319359;1260,71543715784;207,774056519125;0,164806466546908;0,0108171499962884;0,0150861875249329;0,0259033375212213
INHANGAPI;Masc;5170,00000000001;715,328529393677;660,141105239416;1375,46963463309;55,1874241542604;0,0401226045015393;0,0127686867551144;0,0138361417677694;0,0266048285228838
IPIRANGA DO NORTE;Fem;2327,99999999993;1652,72417334707;575,987140568265;2228,71131391533;1076,7370327788;0,483120907609709;0,0247417156601496;0,0709933064152543;0,0957350220754039
IPIRANGA DO NORTE;Masc;2794,99999999991;1955,53851306751;478,911099007647;2434,44961207515;1476,62741405986;0,606554930007841;0,0171345652596659;0,0699655997519703;0,0871001650116363
IPIXUNA;Fem;10899,0000000074;709,428584870772;824,314530193206;1533,74311506398;-114,885945322434;-0,0749055980718399;0,00756321249832689;0,00650911629388284;0,0140723287922097
IPIXUNA;Masc;11355,0000000079;659,023321778094;913,271647359239;1572,29496913733;-254,248325581145;-0,16170523379633;0,00804290310311407;0,00580381613190343;0,0138467192350175
IPIXUNA DO PARÁ;Fem;24404,9999999999;3521,35617355033;1934,03537667023;5455,39155022055;1587,3207968801;0,29096367919108;0,00792475057025295;0,0144288308688807;0,0223535814391337
IPIXUNA DO PARÁ;Masc;26904;3683,16619714624;1806,86906772487;5490,03526487111;1876,29712942137;0,341764130629026;0,0067159867221412;0,0136900319548998;0,020406018677041
IPUEIRAS;Fem;775,000000000002;259,540315170101;109,184732970854;368,725048140955;150,355582199248;0,407771544019897;0,0140883526414004;0,0334890729251743;0,0475774255665747
IPUEIRAS;Masc;864,000000000002;235,78259108655;80,8539704053507;316,636561491901;154,9286206812;0,489294792588766;0,0093580984265452;0,0272896517461285;0,0366477501726737
IRACEMA;Fem;4096,00000000001;1215,08673119149;231,506992325057;1446,59372351655;983,579738866433;0,67992811172679;0,00565202617981096;0,0296652033982297;0,0353172295780406
IRACEMA;Masc;4600;1483,94606763729;275,161454552481;1759,10752218977;1208,78461308481;0,687157889916866;0,00598177075114089;0,0322596971225498;0,0382414678736907
IRANDUBA;Fem;19785;4931,47938219895;1175,16556199924;6106,64494419819;3756,31382019971;0,615119080038952;0,00593967936315008;0,0249253443628959;0,030865023726046
IRANDUBA;Masc;20995,9999999999;5238,19091744634;1545,23684905084;6783,42776649718;3692,9540683955;0,544408254280338;0,00735967255215681;0,0249485183722916;0,0323081909244485
IRITUIA;Fem;15103;1611,11859287765;3371,05878122119;4982,17737409884;-1759,94018834354;-0,353247196194389;0,0223204580627769;0,0106675401766381;0,032987998239415
IRITUIA;Masc;16261;1490,5898891374;2948,68282622042;4439,27271535782;-1458,09293708302;-0,328453111708749;0,0181334655077819;0,00916665573542463;0,0273001212432066
ITACAJÁ;Fem;3373,00000000001;351,906810709589;1200,57116340748;1552,47797411707;-848,664352697894;-0,546651460984847;0,0355935714025343;0,0104330510142185;0,0460266224167528
ITACAJÁ;Masc;3731,00000000001;348,793227435182;1174,05994214133;1522,85316957651;-825,266714706145;-0,541921395439354;0,0314677014779234;0,00934851855897027;0,0408162200368937
ITACOATIARA;Fem;42413;6042,92069321515;5595,21216327062;11638,1328564858;447,708529944533;0,0384691028591438;0,0131922103205871;0,0142478030160921;0,0274400133366793
ITACOATIARA;Masc;44426,0000000001;5956,19729818387;5658,30394834618;11614,50124653;297,893349837689;0,0256483979393164;0,0127364695186291;0,0134070078291628;0,0261434773477919
ITAGUATINS;Fem;2924,99999999958;406,071473625379;866,917007001427;1272,98848062681;-460,845533376048;-0,362018620269943;0,0296381882735573;0,0138827854230919;0,0435209736966492
ITAGUATINS;Masc;3103,99999999956;407,481052540752;776,039087110079;1183,52013965083;-368,558034569327;-0,31140833368333;0,0250012592496839;0,0131276112287632;0,0381288704784471
ITAIPAVA DO GRAJAÚ;Fem;6909,00000000002;1169,25682874715;512,199955216908;1681,45678396406;657,05687353024;0,390766435270028;0,00741351795074405;0,0169236767802453;0,0243371947309893
