MUNIAT;IMIGRANTE;EMIGRANTE;POP_TOTAL;MIGRANTE;SALDO;IEM;TX_IMIG;TX_EMIG;TX_MIG
BURITICUPU;13277,962400816;14671,4035844018;65236,9999999995;27949,3659852179;-1393,44118358584;-0,0498559138809381;0,022489390352717;0,0203534227521439;0,0428428131048609
BURITIRANA;2576,7825130871;1848,97059294592;14784;4425,75310603301;727,811920141175;0,164449281897142;0,0125065651579134;0,0174295353969635;0,0299361005548769
BURITIS;14236,9383935498;9503,39833521725;32383,0000000002;23740,3367287671;4733,54005833254;0,199388075763758;0,0293468743946429;0,043964235535774;0,0733111099304169
CAAPIRANGA;1348,36161742084;787,392477548861;10975;2135,75409496971;560,969139871984;0,262656239870134;0,00717441892983017;0,0122857550562264;0,0194601739860566
CABIXI;1250,47908327192;1723,3600197273;6313,00000000002;2973,83910299922;-472,880936455381;-0,159013625175103;0,0272985905231632;0,0198080006854414;0,0471065912086046
CACAULÂNDIA;1928,69257353317;1790,8405854442;5736,00000000003;3719,53315897737;137,851988088965;0,0370616370918078;0,0312210701785947;0,0336243475162684;0,0648454176948632
CACHOEIRA DO ARARI;1716,25885245776;2012,19106580924;20442,9999999999;3728,449918267;-295,932213351473;-0,079371379484433;0,00984293433355794;0,00839533753586937;0,0182382718694273
CACHOEIRA DO PIRIÁ;5010,02110604859;2124,92365092165;26484;7134,94475697024;2885,09745512694;0,40436156878558;0,00802342414635875;0,018917161705364;0,0269405858517227
CACHOEIRA GRANDE;819,15805224255;847,17410456168;8445,99999999996;1666,33215680423;-28,0160523191306;-0,016813005861245;0,0100304772029562;0,00969876926642853;0,0197292464693848
CACHOEIRINHA;552,69939286712;603,01246672485;2148,00000000001;1155,71185959197;-50,3130738577299;-0,0435342714883044;0,0280732060858868;0,0257308842116908;0,0538040902975776
CACOAL;14468,0840450464;23357,3098654066;78574,0000000016;37825,393910453;-8889,22582036019;-0,235006827461053;0,0297265124155651;0,0184133225304122;0,0481398349459773
CAJAPIÓ;444,194501628758;1409,39477712845;10593;1853,58927875721;-965,20027549969;-0,520719604154615;0,0133049634393321;0,00419328331566843;0,0174982467550005
CAJARI;1187,85596515201;3407,59917629373;18338;4595,45514144574;-2219,74321114172;-0,483030111886455;0,0185821745898884;0,00647756552051484;0,0250597401104032
CALÇOENE;2481,57658878215;1304,85518657744;9000,00000000002;3786,43177535959;1176,72140220472;0,310773169045932;0,0144983909619715;0,0275730732086905;0,042071464170662
CAMETÁ;5695,72582053979;13860,0318785584;120895,999999999;19555,7576990981;-8164,30605801856;-0,417488607889383;0,011464425521571;0,00471126077003363;0,0161756862916047
CAMPESTRE DO MARANHÃO;3176,68148561728;2182,47639007196;13369,0000000001;5359,15787568924;994,205095545317;0,185515172086147;0,0163249038078536;0,0237615489985583;0,0400864528064119
CAMPINÁPOLIS;1173,22540454973;3125,71995442046;14305,0000000001;4298,94535897018;-1952,49454987073;-0,454179894563362;0,0218505414499856;0,00820150579901936;0,030052047249005
CAMPO NOVO DE RONDÔNIA;4648,01503605122;1845,31042217455;12665;6493,32545822577;2802,70461387667;0,431628544096183;0,0145701573010229;0,036699684453622;0,0512698417546448
CAMPO NOVO DO PARECIS;14586,1862386576;6669,37540143972;27576,9999999991;21255,5616400974;7916,81083721793;0,37245832273297;0,0241845574262608;0,0528925780130476;0,0770771354393084
CAMPO VERDE;15101,441447737;5826,45638711555;31589,0000000002;20927,8978348525;9274,9850606214;0,443187611761713;0,0184445737032369;0,0478060130036938;0,0662505867069307
CAMPOS DE JÚLIO;3167,16383766521;1317,86957793164;5154,00000000001;4485,03341559685;1849,29425973356;0,412325636928943;0,0255698404720924;0,0614505983248972;0,0870204387969896
CAMPOS LINDOS;2453,50720630771;1097,92001472775;8139,00000000009;3551,42722103547;1355,58719157996;0,381702089669945;0,0134896180701283;0,030145069496347;0,0436346875664753
