UF;IDADE_2;POP_TOTAL;IMIGRANTE;EMIGRANTE;MIGRANTE;SALDO;IEM;TX_IMIG;TX_EMIG;TX_MIG
PARÁ;[15,20);787402,515338847;41413,1167066576;51809,6131393059;93222,7298459634;-10396,4964326483;-0,111523192356917;0,00657981300923459;0,00525945953942451;0,0118392725486591
PARÁ;[20,25);749055,13257762;53898,4065850571;62728,0672722998;116626,473857357;-8829,66068724264;-0,0757088883441849;0,00837429243111149;0,00719551929369791;0,0155698117248094
PARÁ;[25,30);707322,135773249;59936,6197185613;63398,4006385537;123335,020357115;-3461,78091999244;-0,0280681100142433;0,00896315800568664;0,00847373730966841;0,017436895315355
PARÁ;[30,35);617207,775754893;50590,0776498811;49234,8754721217;99824,9531220028;1355,20217775946;0,0135757857667429;0,00797703421864762;0,0081966040670835;0,0161736382857311
PARÁ;[35,40);514394,137650762;37682,928636433;34258,8402737605;71941,7689101936;3424,0883626725;0,0475952762149464;0,00666003707394891;0,007325691697913;0,0139857287718619
PARÁ;[40,45);434849,763906257;30044,7419482675;25392,5459520573;55437,2879003248;4652,19599621012;0,0839181744347718;0,00583938363538617;0,00690922347027982;0,012748607105666
PARÁ;[45,50);353971,243889075;21650,8052332295;18338,7338971534;39989,5391303829;3312,07133607609;0,0828234435330031;0,00518085415517546;0,00611654353482293;0,0112973976899984
PARÁ;[50,55);292970,366750908;16012,1590632824;12831,6098900569;28843,7689533393;3180,54917322553;0,110268154566441;0,00437983200566038;0,0054654534657754;0,00984528547143579
PARÁ;[55,60);234313,73097152;10446,7739067556;8492,83357996815;18939,6074867238;1953,94032678746;0,10316688601689;0,00362455650582442;0,00445845570528062;0,00808301221110503
PARÁ;[60,139);534460,82981346;18734,7896623758;17477,5872884242;36212,3769507999;1257,2023739516;0,0347174772774431;0,00327013436972065;0,0035053625293578;0,00677549689907845
RONDÔNIA;[0,5);128009,126743912;7923,483540257;6446,49001032495;14369,9735505819;1476,99352993206;0,102783315830964;0,00503596124299907;0,00618978016786905;0,0112257414108681
