uf_code;ano;age_group;sexo;pop;pop_percent;cases
AP;2019;0-4;Women;35000;0,04181600955794504;383
AP;2019;5-9;Men;34000;0,04062126642771804;533
AP;2019;5-9;Women;40000;0,04778972520908005;498
AP;2019;10-14;Men;40000;0,04778972520908005;693
AP;2019;10-14;Women;41000;0,04898446833930705;551
AP;2019;15-19;Men;40000;0,04778972520908005;851
AP;2019;15-19;Women;41000;0,04898446833930705;530
AP;2019;20-24;Men;36000;0,04301075268817205;711
AP;2019;20-24;Women;50000;0,05973715651135006;405
AP;2019;25-29;Men;34000;0,04062126642771804;610
AP;2019;25-29;Women;39000;0,04659498207885305;356
AP;2019;30-34;Men;35000;0,04181600955794504;527
AP;2019;30-34;Women;34000;0,04062126642771804;315
AP;2019;35-39;Men;29000;0,03464755077658303;481
AP;2019;35-39;Women;32000;0,03823178016726404;223
AP;2019;40-44;Men;26000;0,03106332138590203;423
AP;2019;40-44;Women;28000;0,03345280764635603;222
AP;2019;45-49;Men;20000;0,02389486260454003;332
AP;2019;45-49;Women;22000;0,02628434886499403;198
AP;2019;50-54;Men;18000;0,02150537634408602;263
AP;2019;50-54;Women;25000;0,02986857825567503;148
AP;2019;55-59;Men;13000;0,01553166069295102;169
AP;2019;55-59;Women;13000;0,01553166069295102;95
AP;2019;60-64;Men;13000;0,01553166069295102;138
AP;2019;60-64;Women;14000;0,01672640382317802;70
AP;2019;65-69;Men;6000;0,00716845878136201;76
AP;2019;65-69;Women;11000;0,01314217443249701;35
AP;2019;70+;Men;13000;0,01553166069295102;64
AP;2019;70+;Women;14000;0,01672640382317802;49
TO;2019;0-4;Men;50000;0,03211303789338472;NA
TO;2019;0-4;Women;50000;0,03211303789338472;NA
TO;2019;5-9;Men;56000;0,03596660244059088;NA
TO;2019;5-9;Women;56000;0,03596660244059088;NA
TO;2019;10-14;Men;68000;0,04367373153500321;2
TO;2019;10-14;Women;68000;0,04367373153500321;NA
TO;2019;15-19;Men;70000;0,04495825305073860;NA
TO;2019;15-19;Women;66000;0,04238921001926782;NA
TO;2019;20-24;Men;64000;0,04110468850353243;1
TO;2019;20-24;Women;57000;0,03660886319845857;1
TO;2019;25-29;Men;54000;0,03468208092485549;1
TO;2019;25-29;Women;55000;0,03532434168272319;1
TO;2019;30-34;Men;60000;0,03853564547206165;4
TO;2019;30-34;Women;61000;0,03917790622992935;NA
TO;2019;35-39;Men;55000;0,03532434168272319;5
TO;2019;35-39;Women;68000;0,04367373153500321;1
TO;2019;40-44;Men;54000;0,03468208092485549;NA
TO;2019;40-44;Women;63000;0,04046242774566474;NA
TO;2019;45-49;Men;57000;0,03660886319845857;4
TO;2019;45-49;Women;49000;0,03147077713551702;1
TO;2019;50-54;Men;43000;0,02761721258831085;4
TO;2019;50-54;Women;44000;0,02825947334617855;1
TO;2019;55-59;Men;40000;0,02569043031470777;3
TO;2019;55-59;Women;39000;0,02504816955684008;NA
TO;2019;60-64;Men;30000;0,01926782273603083;2
TO;2019;60-64;Women;32000;0,02055234425176622;NA
TO;2019;65-69;Men;24000;0,01541425818882466;NA
TO;2019;65-69;Women;30000;0,01926782273603083;NA
TO;2019;70+;Men;50000;0,03211303789338472;NA
TO;2019;70+;Women;44000;0,02825947334617855;NA
MA;2019;0-4;Men;265000;0,03763135472877024;9
MA;2019;0-4;Women;243000;0,03450724226072139;2
MA;2019;5-9;Men;302000;0,04288554387957966;6
MA;2019;5-9;Women;275000;0,03905140585061062;3
MA;2019;10-14;Men;361000;0,05126384549843795;8
MA;2019;10-14;Women;329000;0,04671968190854871;6
MA;2019;15-19;Men;358000;0,05083783016188582;32
MA;2019;15-19;Women;331000;0,04700369213291679;6
MA;2019;20-24;Men;284000;0,04032945186026697;75
MA;2019;20-24;Women;284000;0,04032945186026697;15
MA;2019;25-29;Men;241000;0,03422323203635331;87
MA;2019;25-29;Women;271000;0,03848338540187447;16
MA;2019;30-34;Men;258000;0,03663731894348197;78
MA;2019;30-34;Women;288000;0,04089747230900313;26
MA;2019;35-39;Men;260000;0,03692132916785004;70
MA;2019;35-39;Women;291000;0,04132348764555524;11
MA;2019;40-44;Men;219000;0,03109911956830446;53
MA;2019;40-44;Women;227000;0,03223516046577677;18
MA;2019;45-49;Men;182000;0,02584493041749503;31
MA;2019;45-49;Women;195000;0,02769099687588753;7
MA;2019;50-54;Men;168000;0,02385685884691849;30
MA;2019;50-54;Women;181000;0,02570292530531099;3
MA;2019;55-59;Men;157000;0,02229480261289406;9
MA;2019;55-59;Women;192000;0,02726498153933542;3
MA;2019;60-64;Men;120000;0,01704061346208463;1
MA;2019;60-64;Women;151000;0,02144277193978983;NA
MA;2019;65-69;Men;107000;0,01519454700369213;3
