"MUN_INFE" "year_notif" "municipio" "uf" "count_falciparum" "perc_falciparum" "count" "pro_tratamento"
110150 2013 "Seringueiras" "Rondônia" 1 0.111111111111111 4 0.444444444444444
110155 2010 "Teixeirópolis" "Rondônia" 1 0.2 2 0.4
110160 2007 "Theobroma" "Rondônia" 186 0.148325358851675 967 0.771132376395534
110160 2008 "Theobroma" "Rondônia" 28 0.0595744680851064 354 0.753191489361702
110160 2009 "Theobroma" "Rondônia" 8 0.0350877192982456 160 0.701754385964912
110160 2010 "Theobroma" "Rondônia" 4 0.0579710144927536 39 0.565217391304348
110160 2011 "Theobroma" "Rondônia" 2 0.0540540540540541 19 0.513513513513513
110160 2012 "Theobroma" "Rondônia" 1 0.0625 12 0.75
110170 2007 "Urupá" "Rondônia" 16 0.197530864197531 69 0.851851851851852
110170 2015 "Urupá" "Rondônia" 1 0.5 1 0.5
110175 2007 "Vale do Anari" "Rondônia" 95 0.0801011804384486 859 0.724283305227656
110175 2008 "Vale do Anari" "Rondônia" 53 0.0559071729957806 686 0.723628691983122
110175 2009 "Vale do Anari" "Rondônia" 8 0.00984009840098401 689 0.847478474784748
110175 2010 "Vale do Anari" "Rondônia" 23 0.0606860158311346 328 0.865435356200528
110175 2011 "Vale do Anari" "Rondônia" 13 0.0673575129533679 150 0.77720207253886
110175 2012 "Vale do Anari" "Rondônia" 1 0.00483091787439614 157 0.758454106280193
110175 2013 "Vale do Anari" "Rondônia" 2 0.00529100529100529 243 0.642857142857143
110175 2019 "Vale do Anari" "Rondônia" 1 0.0909090909090909 5 0.454545454545455
110180 2007 "Vale do Paraíso" "Rondônia" 8 0.156862745098039 39 0.764705882352941
110180 2019 "Vale do Paraíso" "Rondônia" 4 0.666666666666667 5 0.833333333333333
120001 2007 "Acrelândia" "Acre" 268 0.256214149139579 590 0.564053537284895
120001 2008 "Acrelândia" "Acre" 42 0.136807817589577 179 0.583061889250814
