"MUN_INFE" "year_notif" "municipio" "uf" "count_vivax" "total" "perc_vivax"
110015 2018 "Ouro Preto do Oeste" "Rondônia" 2 4 0.5
110018 2007 "Pimenta Bueno" "Rondônia" 16 18 0.888888888888889
110018 2008 "Pimenta Bueno" "Rondônia" 23 28 0.821428571428571
110018 2009 "Pimenta Bueno" "Rondônia" 130 132 0.984848484848485
110018 2010 "Pimenta Bueno" "Rondônia" 34 42 0.80952380952381
110018 2011 "Pimenta Bueno" "Rondônia" 17 17 1
110018 2012 "Pimenta Bueno" "Rondônia" 15 15 1
110018 2013 "Pimenta Bueno" "Rondônia" 6 6 1
110018 2014 "Pimenta Bueno" "Rondônia" 8 8 1
110018 2015 "Pimenta Bueno" "Rondônia" 2 2 1
110018 2016 "Pimenta Bueno" "Rondônia" 3 3 1
110018 2017 "Pimenta Bueno" "Rondônia" 4 4 1
110018 2018 "Pimenta Bueno" "Rondônia" 1 1 1
110020 2007 "Porto Velho" "Rondônia" 35336 46049 0.767356511542053
110020 2008 "Porto Velho" "Rondônia" 24494 28772 0.85131377728347
110020 2009 "Porto Velho" "Rondônia" 23181 26042 0.89013900622072
110020 2010 "Porto Velho" "Rondônia" 27228 29866 0.91167213553874
110020 2011 "Porto Velho" "Rondônia" 20061 21120 0.949857954545455
110020 2012 "Porto Velho" "Rondônia" 19230 19845 0.969009826152683
110020 2013 "Porto Velho" "Rondônia" 11134 11550 0.963982683982684
110020 2014 "Porto Velho" "Rondônia" 6760 7651 0.883544634688276
110020 2015 "Porto Velho" "Rondônia" 3597 4182 0.860114777618364
110020 2016 "Porto Velho" "Rondônia" 2899 3442 0.842242882045322
110020 2017 "Porto Velho" "Rondônia" 2779 3283 0.846481876332623
110020 2018 "Porto Velho" "Amazonas" 1 1 1
110020 2018 "Porto Velho" "Rondônia" 3640 4152 0.876685934489403
110020 2019 "Porto Velho" "Rondônia" 5769 6503 0.887129017376595
